time,size_sent,size_rcv 
0,18.67734375,140.13828125 
10,62.5765625,318.2390625 
20,96.07109375,430.37421875 
30,98.5015625,430.37421875 
40,120.72890625,592.05390625 
50,190.234375,1031.15234375 
60,262.38515625,1272.79609375 
70,283.8890625,1300.6890625 
80,341.9078125,1415.8015625 
90,462.43515625,1585.2453125 
100,656.4640625,1722.10078125 
110,984.2453125,2068.5 
120,1292.6234375,2263.34921875 
130,1530.06171875,2418.50078125 
140,1761.0390625,2605.63203125 
150,2000.00625,2732.81328125 
160,2145.33828125,2849.38671875 
170,2254.50078125,2951.53046875 
180,2353.340625,3035.37578125 
190,2432.94453125,3099.4046875 
200,2494.3609375,3239.36640625 
210,2526.7640625,3274.49453125 
220,2542.6890625,3283.44296875 
230,2556.54921875,3289.14375 
240,2566.91328125,3292.6953125 
250,2572.446875,3295.39375 
260,2643.7453125,3335.85078125 
270,2813.85234375,3423.471875 
280,2843.0859375,3431.62578125 
290,2846.09296875,3431.62578125 
300,2847.94609375,3431.62578125 
310,2848.52421875,3431.62578125 
320,2849.6640625,3431.684375 
330,2850.515625,3431.8015625 
340,2857.90546875,3433.090625 
350,2861.334375,3433.325 
360,2864.66171875,3433.50078125 
370,2866.02109375,3433.559375 
380,2867.3796875,3433.6765625 
390,2868.309375,3433.85234375 
400,2875.57109375,3434.6140625 
410,2878.440625,3434.90703125 
